name,birth_city,birth_state,birth_country,death_city,death_state,death_country,promos,birth_year,birth_month,birth_day,death_year,death_month,death_day,sex
Jim Neidhart,Tampa,Florida,US,,,US,"[wwe, sta, ecw, wcw]",1955,2,8,,,,m
Jim Powers,,,,,,,"[wwe, ecw, wcw]",1958,1,4,,,,m
Jim Ross,Fort Bragg,California,US,,,,[wcw],1952,1,3,,,,m
Jim Steele,New Port Richey,Florida,US,,,,[ecw],1967,5,4,,,,m
Jimmy Cicero,,New York,US,,,,[ecw],1969,,,,,,m
Jimmy Del Ray,Grove City,Pennsylvania,US,Tampa,Florida,US,"[wwe, wwe, ecw, wcw]",1962,11,30,2014,12,6,m
Jimmy Garvin,Tampa,Florida,US,,,,"[nwa, awa, wcw]",1952,9,25,,,,m
Jimmy Hart,Jackson,Mississippi,US,,,,"[wwe, wcw]",1944,1,1,,,,m
Jimmy Jacobs,Grand Rapids,Michigan,US,,,US,"[wwe, tna]",1984,2,17,,,,m
Jimmy Rave,Atlanta,Georgia,US,,,,[tna],1982,12,8,,,,m
Jimmy Snuka,,,FJ,,,US,"[wwe, ecw, awa, tna]",1943,5,18,,,,m
Jimmy Valiant,Franklin County,Tennessee,US,,,US,"[wwe, nwa]",1942,8,6,,,,m
Jinder Mahal,Calgary,Alberta,CA,,,,[wwe],1986,7,19,,,,m
Jinsei Shinzaki,Tokushima,Tokushima,JP,,,,"[wwe, ecw]",1966,12,2,,,,m
Jody Fleisch,London,England,GB,,,,[tna],1980,4,2,,,,m
Jody Hamilton,Saint Joseph,Missouri,US,,,US,[nwa],1938,8,28,,,,m
Joe Blanchard,Haskell,Oklahoma,US,San Antonio,Texas,US,"[sta, nwa]",1928,12,7,2012,3,22,m
Joe Doering,Chicago,Illinois,US,,,,[tna],1982,4,16,,,,m
Joe Dusek,Omaha,Nebraska,US,,,US,[nwa],1910,,,1992,10,31,m
Joe E. Legend,Toronto,Ontario,CA,,,,[tna],1969,9,2,,,,m
Joe Malenko,Irvington,New Jersey,US,,,US,[ecw],1955,6,4,,,,m
Joe Savoldi,Castano Primo,,IT,Henderson,Kentucky,US,[nwa],1908,3,5,1974,1,25,m
Joel Deaton,Tyler,Texas,US,,,US,[nwa],1957,,,,,,m
Joel Maximo,Brooklyn,New York,US,,,,"[tna, wwe]",1979,11,28,,,,m
Joey Abs,Carthage,North Carolina,US,,,,[wwe],1971,10,15,,,,m
Joey Maggs,Baltimore,Maryland,US,Baltimore,Maryland,US,[wcw],1969,7,,2006,10,15,m
Joey Mercury,Fairfax,Virginia,US,,,,[wwe],1979,7,18,,,,m
Joey Muñoz,Colorado Springs,Colorado,US,,,US,"[nwa, wwe]",1979,1,20,,,,m
John Anson,Vancouver,British Columbia,CA,,,US,[sta],1949,4,7,,,,m
John Cena,West Newbury,Massachusetts,US,,,,[wwe],1977,4,23,,,,m
John Cone,Kansas City,Missouri,US,,,US,[wwe],1974,11,16,,,,m
John Cozman,Regina,Saskatchewan,CA,,,US,[sta],1964,8,28,,,,m
John da Silva,Pukekohe,,NZ,,,US,[sta],1934,6,11,,,,m
John Hill,Hamilton,Ontario,CA,Indianapolis,Indiana,US,[nwa],1941,7,8,2010,3,11,m
John Hindley,Warrington,England,GB,,,US,"[sta, ecw]",1965,8,7,,,,m
John Kronus,Everett,Massachusetts,US,Laconia,New Hampshire,US,[ecw],1969,1,13,2007,7,18,m
John Laurinaitis,Philadelphia,Pennsylvania,US,,,,"[wwe, wcw]",1962,7,31,,,,m
John Layfield,Sweetwater,Texas,US,,,,[wwe],1966,11,29,,,,m
John LeRoux,,,,,,,"[tna, wcw]",1976,11,22,,,,m
John Morrison,Palos Verdes,California,US,,,,[wwe],1979,10,3,,,,m
John Nord,St. Cloud,Minnesota,US,,,,"[wwe, awa, wcw]",1959,10,18,,,,m
John Quinn,Hamilton,Ontario,CA,,,,"[wwe, sta]",1944,,,,,,m
John Tenta,Surrey,British Columbia,CA,Sanford,Florida,US,"[wwe, wcw]",1963,6,22,2006,6,7,m
John Tolos,Hamilton,Ontario,CA,Los Angeles,California,US,"[wwe, sta, nwa]",1930,9,18,2009,5,29,m
Johnny Devine,Merritt,British Columbia,CA,,,US,"[ecw, tna]",1974,4,27,,,,m
