name,birth_city,birth_state,birth_country,death_city,death_state,death_country,birth_year,birth_month,birth_day,death_year,death_month,death_day
Mike Kearns,Trenton,New Jersey,US,Hamilton Township,New Jersey,US,1929,6,18,2009,1,31
Fred Diute,Binghamton,New York,US,Vero Beach,Florida,US,1929,1,9,2004,7,19
Larry Hennessy,New Rochelle,New York,US,Williamsburg,Virginia,US,1929,5,20,2008,8,20
George Feigenbaum,Brooklyn,New York,US,,,,1929,7,2,2000,12,25
Zeke Sinicola,East Harlem,New York,US,,,,1929,1,25,2011,6,6
Neil Johnston,Chillicothe,Ohio,US,Irving,Texas,US,1929,2,4,1978,9,28
Ed Smith,West Jefferson,Ohio,US,,,,1929,7,5,1998,11,25
George Dempsey,Philadelphia,Pennsylvania,US,,,,1929,7,19,,,
Jim Phelan,Philadelphia,Pennsylvania,US,,,,1929,3,19,,,
Stan Brown,Philadelphia,Pennsylvania,US,,,,1929,6,27,2009,8,2
Bert Cook,Weber County,Utah,US,Roy,Utah,US,1929,4,26,1994,11,24
Moe Radovich,Crosby,Wyoming,US,,,,1929,5,5,2004,6,18
Bob Naber,,,US,,,,1929,9,3,1998,2,8
Dick Surhoff,,,US,,,,1929,11,16,1987,5,1
